number,french_lemma,thematic,pos,adverb_type,formation,is_invariable,placement_position,placement_note,placement_example_front,placement_example_end,example_target_form,memory_note,chinese_translation,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
7,en,none,"adv,prep,pro",place,adverbial pronoun / short function word,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"En, je reste.",Je reste en.,en,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在；以；由,"in, by",* je suis retournée en Espagne en septembre -- I returned to Spain in September,je suis retournée en Espagne en septembre,7,I returned to Spain in September,94,242952,94 | 242952,adv|prep|pro,no_noun_verb_adj_bucket
9,que,none,"adv,conj,pro",connector/logical,adverbial pronoun / short function word,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Que, il faut continuer.","Il faut continuer; que, il faut rester prudent.",que,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,什么；多么；那/关系词,"that, which, who, whom",* c'est un soldat. mais que fait-il ici? -- it's a soldier. but what's he doing here?,c'est un soldat. mais que fait-il ici?,7,it's a soldier. but what's he doing here?,88,348428,88 | 348428,adv|conj|pro,no_noun_verb_adj_bucket
15,ne,none,adv,negation,negation marker / negative adverb,true,around_or_after_verb,Negation adverbs follow the verb structure. ne usually comes before the conjugated verb; pas/jamais/plus often comes after the conjugated verb or auxiliary.,Il ne parle pas.,Il n'a jamais parlé.,ne,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,不（否定前半部分）,not,* nous ne faisons pas du très bon travail -- we are not doing very good work,nous ne faisons pas du très bon travail,8,we are not doing very good work,86,195309,86 | 195309,adv,no_noun_verb_adj_bucket
18,pas,none,"adv,nm(pl)",negation,negation marker / negative adverb,true,around_or_after_verb,Negation adverbs follow the verb structure. ne usually comes before the conjugated verb; pas/jamais/plus often comes after the conjugated verb or auxiliary.,Il ne parle pas.,Il n'a jamais parlé.,pas,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,不；没有,"not, n't; footstep","* non, ne touchez pas! -- no, don't touch it!","non, ne touchez pas!",4,"no, don't touch it!",83,161746,83 | 161746,adv|nm(pl),moved_from_nouns_contains_adv_or_conj
19,plus,none,adv,negation,negation marker / negative adverb,true,around_or_after_verb,Negation adverbs follow the verb structure. ne usually comes before the conjugated verb; pas/jamais/plus often comes after the conjugated verb or auxiliary.,Il ne parle pas.,Il n'a jamais parlé.,plus,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,更；不再,"more, no more",* il est considérablement plus jeune que moi -- he's considerably younger than I am,il est considérablement plus jeune que moi,7,he's considerably younger than I am,90,85987,90 | 85987,adv,no_noun_verb_adj_bucket
30,mais,none,"adv,conj,intj",connector/logical,simple adverb / conjunction,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Mais, il faut continuer.","Il faut continuer; mais, il faut rester prudent.",mais,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,但是,but,"* je ne suis pas riche, mais je connais la vérité -- I'm not rich, but I know the truth","je ne suis pas riche, mais je connais la vérité",10,"I'm not rich, but I know the truth",83,69661,83 | 69661,adv|conj|intj,no_noun_verb_adj_bucket
32,comme,none,"adv,conj",connector/logical,simple adverb / conjunction,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Comme, il faut continuer.","Il faut continuer; comme, il faut rester prudent.",comme,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,像；如同；作为,"like, as","* Tony et moi, on est comme des frères -- Tony and I, we're like brothers","Tony et moi, on est comme des frères",8,"Tony and I, we're like brothers",87,49608,87 | 49608,adv|conj,no_noun_verb_adj_bucket
34,si,none,"adv,conj,nmi",connector/logical,simple adverb / conjunction,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Si, il faut continuer.","Il faut continuer; si, il faut rester prudent.",si,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,如果；是否；如此,"if, whether","* aujourd'hui, notre économie va si mal -- today our economy is going so poorly","aujourd'hui, notre économie va si mal",6,today our economy is going so poorly,87,46439,87 | 46439,adv|conj|nmi,moved_from_nouns_contains_adv_or_conj
36,y,none,"adv,nmi,pro",place,adverbial pronoun / short function word,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Y, je reste.",Je reste y.,y,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,那里；到那里,there,* c'est certain qu'on va y aller -- it's for certain that we'll be going there,c'est certain qu'on va y aller,6,it's for certain that we'll be going there,83,55889,83 | 55889,adv|nmi|pro,moved_from_nouns_contains_adv_or_conj
44,aussi,none,"adv,conj",focus/restriction,simple adverb / conjunction,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut aussi comprendre.,Il parle français aussi.,aussi,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,也；同样,"too, also, as",* je rêvais aussi de beaucoup voyager -- I also dreamed of traveling a lot,je rêvais aussi de beaucoup voyager,6,I also dreamed of traveling a lot,88,26219,88 | 26219,adv|conj,no_noun_verb_adj_bucket
48,où,none,"adv,pro",place,adverbial pronoun / short function word,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Où, je reste.",Je reste où.,où,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,哪里；在……的地方,where,* on ne dit pas où il vit -- they aren't saying where he lives,on ne dit pas où il vit,7,they aren't saying where he lives,87,27126,87 | 27126,adv|pro,no_noun_verb_adj_bucket
51,encore,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Encore, je travaille.",Je travaille encore.,encore,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,还；仍然；再次,"again, yet",* tu as encore menti à ta femme -- you lied once again to your wife,tu as encore menti à ta femme,7,you lied once again to your wife,89,19772,89 | 19772,adv,no_noun_verb_adj_bucket
58,déjà,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Déjà, je travaille.",Je travaille déjà.,déjà,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,已经,already,* les rues étaient déjà pleines de monde -- the streets were already full of people,les rues étaient déjà pleines de monde,7,the streets were already full of people,93,11298,93 | 11298,adv,no_noun_verb_adj_bucket
66,très,none,adv,degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est très rapide.,Il travaille très.,très,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,非常,very,"* j'ai été bonne? très, très bonne -- was I good? very, very good","j'ai été bonne? très, très bonne",6,"was I good? very, very good",82,26324,82 | 26324,adv,no_noun_verb_adj_bucket
75,non,none,"adv,nmi",negation,negation marker / negative adverb,true,around_or_after_verb,Negation adverbs follow the verb structure. ne usually comes before the conjugated verb; pas/jamais/plus often comes after the conjugated verb or auxiliary.,Il ne parle pas.,Il n'a jamais parlé.,non,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,不；不是；没有,"no, not","* non, je ne peux pas parler maintenant -- no, I can't talk now","non, je ne peux pas parler maintenant",7,"no, I can't talk now",81,24848,81 | 24848,adv|nmi,moved_from_nouns_contains_adv_or_conj
