number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
3,un,none,"adj,det,nm,pro","a, an, one",* je me suis cassé un ongle -- I broke one of my fingernails,je me suis cassé un ongle,6,I broke one of my fingernails,95,421500,95 | 421500
16,sur,none,"adj,prep","on, upon",* t'avais une chance sur un million -- you had one chance in a million,t'avais une chance sur un million,6,you had one chance in a million,92,97798,92 | 97798
24,tout,none,"adv,det,nadj,pro","all, very","* comme vous voyez, tout est propre -- as you see, everything is clean","comme vous voyez, tout est propre",6,"as you see, everything is clean",86,95071,86 | 95071
28,autre,none,"det,nadj(f),pro",other,* il y a un autre problème -- there's another problem,il y a un autre problème,6,there's another problem,91,40519,91 | 40519
35,leur,none,"det,adj(f),pro","them, their, theirs",* l'énergie solaire assurait leur survie -- solar energy assured their survival,l'énergie solaire assurait leur survie,5,solar energy assured their survival,87,39904,87 | 39904
40,avant,none,"adji,adv,nm,prep",before,* tu vas te pencher en avant -- you're going to lean forward,tu vas te pencher en avant,6,you're going to lean forward,94,14109,94 | 14109
42,même,none,"adj(f),adv,pro","same, even, self",* ils ne s'excusent même pas -- they don't even excuse themselves,ils ne s'excusent même pas,5,they don't even excuse themselves,85,37784,85 | 37784
47,bien,none,"adji,adv,nm",well,* tout va bien maintenant -- everything's going well now,tout va bien maintenant,4,everything's going well now,81,39477,81 | 39477
52,nouveau,none,"adj,nm",new,* il a construit une nouvelle vie ici -- he made a new life for himself here,il a construit une nouvelle vie ici,7,he made a new life for himself here,88,22005,88 | 22005
56,premier,none,"det,nadj",first,"* est-elle la première épouse, la deuxième? -- is she the first wife, the second one?","est-elle la première épouse, la deuxième?",6,"is she the first wife, the second one?",84,27061,84 | 27061
59,grand,Emotions,"adv,nadj","great, big, tall",* tu es plus grand que je pensais -- you're taller than I thought,tu es plus grand que je pensais,7,you're taller than I thought,87,21583,87 | 21583
62,moins,none,"adji(pl),adv,nm(pl),prep",less,* il avait moins d'excuses encore que ses complices -- he had even less excuses than his accomplices did,il avait moins d'excuses encore que ses complices,8,he had even less excuses than his accomplices did,90,14730,90 | 14730
63,aucun,none,"det,adj,pro","none, either, neither, not any",* trop d'argent et aucun goût -- too much money and no taste,trop d'argent et aucun goût,5,too much money and no taste,93,9641,93 | 9641
70,quelque,none,"adv,adj,det",some,* il restera pour quelques mois -- he will stay for a few months,il restera pour quelques mois,5,he will stay for a few months,86,18939,86 | 18939
87,dernier,none,nadj,last,* c'est le dernier endroit où vous auriez dû vous rencontrer -- that's the last place you should have met,c'est le dernier endroit où vous auriez dû vous rencontrer,10,that's the last place you should have met,83,17524,83 | 17524
89,pendant,none,"adj,prep,nm",during; pendant,* où t'étais pendant tout ce temps? -- where were you all of this time?,où t'étais pendant tout ce temps?,6,where were you all of this time?,91,8413,91 | 8413
94,bon,Emotions,"adj,adv,intj,nm",good,* ce n'est pas le bon moment -- it's not a good time,ce n'est pas le bon moment,6,it's not a good time,81,18375,81 | 18375
101,seul,Emotions,adj,"alone, only",* parler tout seul était signe d'aliénation -- talking to oneself was a sign of loneliness,parler tout seul était signe d'aliénation,6,talking to oneself was a sign of loneliness,84,13542,84 | 13542
107,fort,Emotions,"adv,adj,nm",strong,* c'est une femme forte -- she is a strong woman,c'est une femme forte,4,she is a strong woman,90,6811,90 | 6811
