number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
1,le,none,"det,pro","the; him, her, it, them","* vive la politique, vive l'amour -- long live politics, long live love","vive la politique, vive l'amour",5,"long live politics, long live love",89,2359662,89 | 2359662,det|pro,no_noun_verb_adj_bucket
2,de,none,"det,prep","of, from, some, any",* il ne rêve que d'argent et de plaisirs -- he only dreams of money and pleasure,il ne rêve que d'argent et de plaisirs,8,he only dreams of money and pleasure,88,1665907,88 | 1665907,det|prep,no_noun_verb_adj_bucket
4,à,none,prep,"to, at, in",* ils restent à l'école le plus longtemps possible -- they remain at school as long as possible,ils restent à l'école le plus longtemps possible,8,they remain at school as long as possible,93,557546,93 | 557546,prep,no_noun_verb_adj_bucket
6,et,none,conj,and,* et les larmes se remirent à couler -- and the tears started flowing again,et les larmes se remirent à couler,7,and the tears started flowing again,93,364443,93 | 364443,conj,no_noun_verb_adj_bucket
7,en,none,"adv,prep,pro","in, by",* je suis retournée en Espagne en septembre -- I returned to Spain in September,je suis retournée en Espagne en septembre,7,I returned to Spain in September,94,242952,94 | 242952,adv|prep|pro,no_noun_verb_adj_bucket
9,que,none,"adv,conj,pro","that, which, who, whom",* c'est un soldat. mais que fait-il ici? -- it's a soldier. but what's he doing here?,c'est un soldat. mais que fait-il ici?,7,it's a soldier. but what's he doing here?,88,348428,88 | 348428,adv|conj|pro,no_noun_verb_adj_bucket
10,pour,none,prep,"for, in order to",* elle jouait pour gagner -- she played to win,elle jouait pour gagner,4,she played to win,93,151709,93 | 151709,prep,no_noun_verb_adj_bucket
11,dans,none,prep,"in, into, from",* je reviendrai dans dix minutes -- I will return in 10 minutes,je reviendrai dans dix minutes,5,I will return in 10 minutes,93,161033,93 | 161033,prep,no_noun_verb_adj_bucket
12,ce,none,"det,pro","this, that",* je ne déteste pas cet homme -- I do not detest this man,je ne déteste pas cet homme,6,I do not detest this man,87,307421,87 | 307421,det|pro,no_noun_verb_adj_bucket
13,il,none,pro,"he, it",* allez voir s'il est blessé -- go see if he is injured,allez voir s'il est blessé,5,go see if he is injured,86,251585,86 | 251585,pro,no_noun_verb_adj_bucket
14,qui,none,pro,"who, whom",* je ne sais pas à qui m'adresser -- I don't know who to talk to,je ne sais pas à qui m'adresser,7,I don't know who to talk to,89,160867,89 | 160867,pro,no_noun_verb_adj_bucket
15,ne,none,adv,not,* nous ne faisons pas du très bon travail -- we are not doing very good work,nous ne faisons pas du très bon travail,8,we are not doing very good work,86,195309,86 | 195309,adv,no_noun_verb_adj_bucket
17,se,none,pro,"oneself, himself, herself, itself, themselves","* avec ce traité, le Japon se rapproche des Etats-Unis -- with this treaty, Japan brings itself closer to the U.S.","avec ce traité, le Japon se rapproche des Etats-Unis",9,"with this treaty, Japan brings itself closer to the U.S.",88,144707,88 | 144707,pro,no_noun_verb_adj_bucket
18,pas,none,"adv,nm(pl)","not, n't; footstep","* non, ne touchez pas! -- no, don't touch it!","non, ne touchez pas!",4,"no, don't touch it!",83,161746,83 | 161746,adv|nm(pl),moved_from_nouns_contains_adv_or_conj
19,plus,none,adv,"more, no more",* il est considérablement plus jeune que moi -- he's considerably younger than I am,il est considérablement plus jeune que moi,7,he's considerably younger than I am,90,85987,90 | 85987,adv,no_noun_verb_adj_bucket
21,par,none,prep,by,* il s'y trouvait par hasard -- he found himself there by accident,il s'y trouvait par hasard,5,he found himself there by accident,87,99628,87 | 99628,prep,no_noun_verb_adj_bucket
22,je,none,pro,I,* je suis contente de vous revoir -- I am happy to see you again,je suis contente de vous revoir,6,I am happy to see you again,73,227259-n,73 | 227259-n,pro,no_noun_verb_adj_bucket
23,avec,none,prep,with,* vous voulez aller au ciné avec moi? -- do you want to go to a movie with me?,vous voulez aller au ciné avec moi?,7,do you want to go to a movie with me?,91,66056,91 | 66056,prep,no_noun_verb_adj_bucket
29,on,none,pro,"one, we",* on tire et on pose les questions ensuite -- we shoot first and ask questions later,on tire et on pose les questions ensuite,8,we shoot first and ask questions later,80,87982,80 | 87982,pro,no_noun_verb_adj_bucket
30,mais,none,"adv,conj,intj",but,"* je ne suis pas riche, mais je connais la vérité -- I'm not rich, but I know the truth","je ne suis pas riche, mais je connais la vérité",10,"I'm not rich, but I know the truth",83,69661,83 | 69661,adv|conj|intj,no_noun_verb_adj_bucket
31,nous,none,pro,"we, us",* nous devons nous défendre nous-mêmes -- we must defend ourselves,nous devons nous défendre nous-mêmes,5,we must defend ourselves,78,89100,78 | 89100,pro,no_noun_verb_adj_bucket
32,comme,none,"adv,conj","like, as","* Tony et moi, on est comme des frères -- Tony and I, we're like brothers","Tony et moi, on est comme des frères",8,"Tony and I, we're like brothers",87,49608,87 | 49608,adv|conj,no_noun_verb_adj_bucket
33,ou,none,conj,or,* il en reste du café ou pas? -- is there some coffee left or not?,il en reste du café ou pas?,7,is there some coffee left or not?,86,49714,86 | 49714,conj,no_noun_verb_adj_bucket
34,si,none,"adv,conj,nmi","if, whether","* aujourd'hui, notre économie va si mal -- today our economy is going so poorly","aujourd'hui, notre économie va si mal",6,today our economy is going so poorly,87,46439,87 | 46439,adv|conj|nmi,moved_from_nouns_contains_adv_or_conj
36,y,none,"adv,nmi,pro",there,* c'est certain qu'on va y aller -- it's for certain that we'll be going there,c'est certain qu'on va y aller,6,it's for certain that we'll be going there,83,55889,83 | 55889,adv|nmi|pro,moved_from_nouns_contains_adv_or_conj
38,elle,none,pro,"she, her",* j'étais fou amoureux. elle m'aimait bien -- I was head-over-heels in love. she loved me a lot,j'étais fou amoureux. elle m'aimait bien,6,I was head-over-heels in love. she loved me a lot,78,66136,78 | 66136,pro,no_noun_verb_adj_bucket
44,aussi,none,"adv,conj","too, also, as",* je rêvais aussi de beaucoup voyager -- I also dreamed of traveling a lot,je rêvais aussi de beaucoup voyager,6,I also dreamed of traveling a lot,88,26219,88 | 26219,adv|conj,no_noun_verb_adj_bucket
45,celui,none,pro,"that, the one, he, him",* tu es celui que je respecte le plus -- you're the one I respect the most,tu es celui que je respecte le plus,8,you're the one I respect the most,87,28015,87 | 28015,pro,no_noun_verb_adj_bucket
48,où,none,"adv,pro",where,* on ne dit pas où il vit -- they aren't saying where he lives,on ne dit pas où il vit,7,they aren't saying where he lives,87,27126,87 | 27126,adv|pro,no_noun_verb_adj_bucket
50,vous,Word length,pro,you,"* ici, vous avez une personnalité publique -- here, you are a public personality","ici, vous avez une personnalité publique",6,"here, you are a public personality",65,77127-n +s,65 | 77127-n +s,pro,no_noun_verb_adj_bucket
51,encore,none,adv,"again, yet",* tu as encore menti à ta femme -- you lied once again to your wife,tu as encore menti à ta femme,7,you lied once again to your wife,89,19772,89 | 19772,adv,no_noun_verb_adj_bucket
54,cela,none,pro,"that, it",* cela demande de l'intégrité et du courage -- that requires integrity and courage,cela demande de l'intégrité et du courage,7,that requires integrity and courage,73,50891-n +s,73 | 50891-n +s,pro,no_noun_verb_adj_bucket
55,entre,none,prep,between,* je marche entre les maisons -- I'm walking between the houses,je marche entre les maisons,5,I'm walking between the houses,86,23028,86 | 23028,prep,no_noun_verb_adj_bucket
58,déjà,none,adv,already,* les rues étaient déjà pleines de monde -- the streets were already full of people,les rues étaient déjà pleines de monde,7,the streets were already full of people,93,11298,93 | 11298,adv,no_noun_verb_adj_bucket
