number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
5,être,none,"nm,v",to be; being,* tout le monde veut être beau -- everybody wants to be beautiful,tout le monde veut être beau,6,everybody wants to be beautiful,91,514562,91 | 514562
8,avoir,none,"nm,v",to have,* on était six donc tu peux pas avoir une conversation -- there were six of us so you can't have a conversation,on était six donc tu peux pas avoir une conversation,10,there were six of us so you can't have a conversation,89,405020,89 | 405020
20,pouvoir,none,"nm,v","can, to be able to",* tu peux jouer de la guitare électrique -- you can play electric guitar,tu peux jouer de la guitare électrique,7,you can play electric guitar,90,78074,90 | 78074
25,faire,none,"nm,v","to do, make",* qu'est-ce qu'il fait? -- what's he doing?,qu'est-ce qu'il fait?,3,what's he doing?,85,99587,85 | 99587
27,mettre,none,v,"to put, place",* je peux me mettre à votre table? -- may I sit at your table?,je peux me mettre à votre table?,7,may I sit at your table?,96,19654,96 | 19654
37,dire,Verbs of communication,"nm,v",to say,* je décrochais le téléphone sans rien dire à personne -- I picked up the telephone receiver without saying anything to anyone,je décrochais le téléphone sans rien dire à personne,9,I picked up the telephone receiver without saying anything to anyone,77,66657-n,77 | 66657-n
39,devoir,none,"nm,v","to have to, owe; duty",* je dois travailler sans la moindre entrave -- I must work without the least bit of hindrance,je dois travailler sans la moindre entrave,7,I must work without the least bit of hindrance,83,46491,83 | 46491
43,prendre,Verbs of movement,v,to take,* elle lui prit la main -- she took him by the hand,elle lui prit la main,5,she took him by the hand,90,24323,90 | 24323
46,donner,none,v,to give,* j'aurais donné ma vie pour lui -- I would have given my life for him,j'aurais donné ma vie pour lui,6,I would have given my life for him,90,19581,90 | 19581
53,aller,Verbs of movement,"nm,v",to go,"* tu devrais aller te coucher, tu as l'air vanné -- you should go to bed, you look wiped out","tu devrais aller te coucher, tu as l'air vanné",9,"you should go to bed, you look wiped out",73,50452,73 | 50452
57,vouloir,none,"nm,v",to want,* tu veux faire ton chemin. c'est bien -- you want to continue on your way. that's OK,tu veux faire ton chemin. c'est bien,7,you want to continue on your way. that's OK,79,36467,79 | 36467
67,savoir,none,"nm,v",to know,* je ne savais plus quoi dire -- I didn't know what to say any more,je ne savais plus quoi dire,6,I didn't know what to say any more,78,32739,78 | 32739
68,falloir,none,v,"to take, require, need","* il ne faut pas être raciste, point -- there's no need to be a racist, at all","il ne faut pas être raciste, point",7,"there's no need to be a racist, at all",84,22844,84 | 22844
69,voir,none,v,to see,* je tenais seulement à te voir pour te dire ... bonne chance -- I just wanted to see you to say ... good luck,je tenais seulement à te voir pour te dire ... bonne chance,12,I just wanted to see you to say ... good luck,78,30907,78 | 30907
80,demander,Verbs of communication,v,to ask for,* j'ai un service à vous demander -- I would like to ask you to do something for me,j'ai un service à vous demander,6,I would like to ask you to do something for me,86,16076,86 | 16076
83,trouver,none,v,to find,* j'ai trouvé du sang. sur le siège avant -- I found some blood. on the front seat,j'ai trouvé du sang. sur le siège avant,8,I found some blood. on the front seat,85,16036,85 | 16036
