id,number,french_lemma,thematic,pos,verb_group,is_reflexive,auxiliary,past_participle,present_je,present_tu,present_il_elle,present_nous,present_vous,present_ils_elles,pc_je,pc_tu,pc_il_elle,pc_nous,pc_vous,pc_ils_elles,english,chinese_explanation,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
verb_0001,5,être,none,"nm,v",3e groupe,False,avoir,été,suis,es,est,sommes,êtes,sont,ai été,as été,a été,avons été,avez été,ont été,to be; being,是；成为,* tout le monde veut être beau -- everybody wants to be beautiful,tout le monde veut être beau,6,everybody wants to be beautiful,91,514562,91 | 514562
verb_0002,8,avoir,none,"nm,v",3e groupe,False,avoir,eu,ai,as,a,avons,avez,ont,ai eu,as eu,a eu,avons eu,avez eu,ont eu,to have,有；拥有,* on était six donc tu peux pas avoir une conversation -- there were six of us so you can't have a conversation,on était six donc tu peux pas avoir une conversation,10,there were six of us so you can't have a conversation,89,405020,89 | 405020
verb_0003,20,pouvoir,none,"nm,v",3e groupe,False,avoir,pu,peux,peux,peut,pouvons,pouvez,peuvent,ai pu,as pu,a pu,avons pu,avez pu,ont pu,"can, to be able to",能；能够,* tu peux jouer de la guitare électrique -- you can play electric guitar,tu peux jouer de la guitare électrique,7,you can play electric guitar,90,78074,90 | 78074
verb_0004,25,faire,none,"nm,v",3e groupe,False,avoir,fait,fais,fais,fait,faisons,faites,font,ai fait,as fait,a fait,avons fait,avez fait,ont fait,"to do, make",做；制作,* qu'est-ce qu'il fait? -- what's he doing?,qu'est-ce qu'il fait?,3,what's he doing?,85,99587,85 | 99587
verb_0005,27,mettre,none,v,3e groupe,False,avoir,mis,mets,mets,met,mettons,mettez,mettent,ai mis,as mis,a mis,avons mis,avez mis,ont mis,"to put, place",放；放置,* je peux me mettre à votre table? -- may I sit at your table?,je peux me mettre à votre table?,7,may I sit at your table?,96,19654,96 | 19654
verb_0006,37,dire,Verbs of communication,"nm,v",3e groupe,False,avoir,dit,dis,dis,dit,disons,dites,disent,ai dit,as dit,a dit,avons dit,avez dit,ont dit,to say,说；讲,* je décrochais le téléphone sans rien dire à personne -- I picked up the telephone receiver without saying anything to anyone,je décrochais le téléphone sans rien dire à personne,9,I picked up the telephone receiver without saying anything to anyone,77,66657-n,77 | 66657-n
verb_0007,39,devoir,none,"nm,v",3e groupe,False,avoir,dû,dois,dois,doit,devons,devez,doivent,ai dû,as dû,a dû,avons dû,avez dû,ont dû,"to have to, owe; duty",必须；欠；应当,* je dois travailler sans la moindre entrave -- I must work without the least bit of hindrance,je dois travailler sans la moindre entrave,7,I must work without the least bit of hindrance,83,46491,83 | 46491
verb_0008,43,prendre,Verbs of movement,v,3e groupe,False,avoir,pris,prends,prends,prend,prenons,prenez,prennent,ai pris,as pris,a pris,avons pris,avez pris,ont pris,to take,拿；取,* elle lui prit la main -- she took him by the hand,elle lui prit la main,5,she took him by the hand,90,24323,90 | 24323
verb_0009,46,donner,none,v,1er groupe,False,avoir,donné,donne,donnes,donne,donnons,donnez,donnent,ai donné,as donné,a donné,avons donné,avez donné,ont donné,to give,给；给予,* j'aurais donné ma vie pour lui -- I would have given my life for him,j'aurais donné ma vie pour lui,6,I would have given my life for him,90,19581,90 | 19581
verb_0010,53,aller,Verbs of movement,"nm,v",3e groupe,False,être,allé,vais,vas,va,allons,allez,vont,suis allé,es allé,est allé,sommes allé,êtes allé,sont allé,to go,去；前往,"* tu devrais aller te coucher, tu as l'air vanné -- you should go to bed, you look wiped out","tu devrais aller te coucher, tu as l'air vanné",9,"you should go to bed, you look wiped out",73,50452,73 | 50452
verb_0011,57,vouloir,none,"nm,v",3e groupe,False,avoir,voulu,veux,veux,veut,voulons,voulez,veulent,ai voulu,as voulu,a voulu,avons voulu,avez voulu,ont voulu,to want,想要,* tu veux faire ton chemin. c'est bien -- you want to continue on your way. that's OK,tu veux faire ton chemin. c'est bien,7,you want to continue on your way. that's OK,79,36467,79 | 36467
verb_0012,67,savoir,none,"nm,v",3e groupe,False,avoir,su,sais,sais,sait,savons,savez,savent,ai su,as su,a su,avons su,avez su,ont su,to know,知道；了解,* je ne savais plus quoi dire -- I didn't know what to say any more,je ne savais plus quoi dire,6,I didn't know what to say any more,78,32739,78 | 32739
verb_0013,68,falloir,none,v,3e groupe,False,avoir,fallu,,,faut,,,,ai fallu,as fallu,a fallu,avons fallu,avez fallu,ont fallu,"to take, require, need",需要；有必要,"* il ne faut pas être raciste, point -- there's no need to be a racist, at all","il ne faut pas être raciste, point",7,"there's no need to be a racist, at all",84,22844,84 | 22844
verb_0014,69,voir,none,v,3e groupe,False,avoir,vu,vois,vois,voit,voyons,voyez,voient,ai vu,as vu,a vu,avons vu,avez vu,ont vu,to see,看见,* je tenais seulement à te voir pour te dire ... bonne chance -- I just wanted to see you to say ... good luck,je tenais seulement à te voir pour te dire ... bonne chance,12,I just wanted to see you to say ... good luck,78,30907,78 | 30907
verb_0015,80,demander,Verbs of communication,v,1er groupe,False,avoir,demandé,demande,demandes,demande,demandons,demandez,demandent,ai demandé,as demandé,a demandé,avons demandé,avez demandé,ont demandé,to ask for,询问；请求,* j'ai un service à vous demander -- I would like to ask you to do something for me,j'ai un service à vous demander,6,I would like to ask you to do something for me,86,16076,86 | 16076
verb_0016,83,trouver,none,v,1er groupe,False,avoir,trouvé,trouve,trouves,trouve,trouvons,trouvez,trouvent,ai trouvé,as trouvé,a trouvé,avons trouvé,avez trouvé,ont trouvé,to find,找到；发现,* j'ai trouvé du sang. sur le siège avant -- I found some blood. on the front seat,j'ai trouvé du sang. sur le siège avant,8,I found some blood. on the front seat,85,16036,85 | 16036
verb_0017,85,rendre,none,v,3e groupe,False,avoir,rendu,rends,rends,rend,rendons,rendez,rendent,ai rendu,as rendu,a rendu,avons rendu,avez rendu,ont rendu,"to render, return, yield, give up",归还；使成为；产生,* je m'y rendis à 4 heures du matin -- I went there at 4 o'clock in the morning,je m'y rendis à 4 heures du matin,8,I went there at 4 o'clock in the morning,90,10226,90 | 10226
verb_0018,88,venir,Verbs of movement,v,3e groupe,False,être,venu,viens,viens,vient,venons,venez,viennent,suis venu,es venu,est venu,sommes venu,êtes venu,sont venu,to come,来,* venez rencontrer les autres -- come meet the others,venez rencontrer les autres,4,come meet the others,81,19776,81 | 19776
verb_0019,90,passer,Verbs of movement,v,1er groupe,False,être/avoir,passé,passe,passes,passe,passons,passez,passent,suis/ai passé,es/as passé,est/a passé,sommes/avons passé,êtes/avez passé,sont/ont passé,to pass,经过；通过,* nous sommes passées devant la maison de ma grand-mère -- we went past the front of my grandmother's place,nous sommes passées devant la maison de ma grand-mère,9,we went past the front of my grandmother's place,83,17070,83 | 17070
verb_0020,95,comprendre,none,v,3e groupe,False,avoir,compris,comprends,comprends,comprend,comprenons,comprenez,comprennent,ai compris,as compris,a compris,avons compris,avez compris,ont compris,to understand,理解；明白,* je comprends que vous soyez fâché -- I understand that you're upset,je comprends que vous soyez fâché,6,I understand that you're upset,87,12482,87 | 12482
verb_0021,100,rester,none,v,1er groupe,False,être,resté,reste,restes,reste,restons,restez,restent,suis resté,es resté,est resté,sommes resté,êtes resté,sont resté,to stay,停留；留下,"* le temps qu'il te reste, trouve une solution -- in the remaining time, find a solution","le temps qu'il te reste, trouve une solution",8,"in the remaining time, find a solution",86,11942,86 | 11942
verb_0022,104,tenir,none,v,3e groupe,False,avoir,tenu,tiens,tiens,tient,tenons,tenez,tiennent,ai tenu,as tenu,a tenu,avons tenu,avez tenu,ont tenu,to hold,握住；持有,* c'est une porte de sécurité. tiens ça -- it's a security door. hold this,c'est une porte de sécurité. tiens ça,7,it's a security door. hold this,85,12229,85 | 12229
verb_0023,105,porter,none,"nm,v",1er groupe,False,avoir,porté,porte,portes,porte,portons,portez,portent,ai porté,as porté,a porté,avons porté,avez porté,ont porté,"to wear, carry",携带；穿戴,* il a porté le maillot jaune un jour -- he wore the yellow jersey one day,il a porté le maillot jaune un jour,8,he wore the yellow jersey one day,89,8044,89 | 8044
verb_0024,106,parler,Verbs of communication,"nm,v",1er groupe,False,avoir,parlé,parle,parles,parle,parlons,parlez,parlent,ai parlé,as parlé,a parlé,avons parlé,avez parlé,ont parlé,to speak,说话；讲话,* je sais de quoi je parle -- I know what I'm talking about,je sais de quoi je parle,6,I know what I'm talking about,77,18598-n,77 | 18598-n
