id,number,french_lemma,pos,preposition_type,is_function_word,core_meaning,english,chinese_translation,example_french,example_english,example_target_form,pattern_1,pattern_2,pattern_3,common_collocations,usage_note,memory_note,range_count,frequency_raw
prep_0001,2,de,"det,prep",simple preposition; also partitive/indefinite determiner,true,source / origin / possession / content / quantity,"of, from, some, any",的；从；关于；一些/若干,il ne rêve que d'argent et de plaisirs,he only dreams of money and pleasure,d',"de + noun: de Paris, de l'argent","verb + de: parler de, avoir besoin de","quantity + de: beaucoup de, peu de",parler de | venir de | avoir besoin de | beaucoup de,De is extremely frequent and can be a preposition or part of a determiner form. It often changes to d’ before a vowel or silent h.,"Do not translate de only as 'of'. Learn it with patterns: parler de, venir de, beaucoup de.",88,1665907
prep_0002,4,à,prep,simple preposition,true,direction / location / relation,"to, at, in",到；在；给；用于地点、方向、关系,ils restent à l'école le plus longtemps possible,they remain at school as long as possible,à,"à + city/place: à Paris, à l'école","verb + à: penser à, parler à","à + time/use: à midi, à faire",aller à | rester à | penser à | parler à | donner à,"À often marks destination, location, time, or an indirect relation. It contracts with le/les: à + le = au, à + les = aux.","Memorize à with the surrounding words, especially verb + à patterns.",93,557546
prep_0003,10,pour,prep,simple preposition,true,purpose / beneficiary / reason,"for, in order to",为了；给；对于；以便,elle jouait pour gagner,she played to win,pour,"pour + noun/pronoun: pour toi, pour le travail",pour + infinitive: pour gagner,"pour + duration/opinion: pour deux jours, pour moi",jouer pour gagner | faire pour | pour moi | pour toujours,"Pour can express purpose, recipient, opinion, or duration depending on context.",Pour is often goal-oriented: for whom? for what purpose?,93,151709
prep_0004,11,dans,prep,simple preposition,true,inside / future time / contained location,"in, into, from",在……里面；进入；多久以后,je reviendrai dans dix minutes,I will return in 10 minutes,dans,dans + place/container: dans la maison,dans + time period: dans dix minutes,dans + abstract domain: dans ce domaine,dans dix minutes | dans la rue | entrer dans | vivre dans,"Dans can mean inside a place, or 'in' after a future time period.","Dans often means inside something, but with time it means after: dans dix minutes.",93,161033
prep_0005,21,par,prep,simple preposition,true,by / through / means / cause,by,通过；由；因为；每,il s'y trouvait par hasard,he found himself there by accident,par,"par + means/cause: par hasard, par téléphone",passive by-agent: fait par quelqu'un,distribution: deux fois par semaine,par hasard | par téléphone | passer par | par semaine,"Par often shows means, route, cause, passive agent, or distribution.",Par answers 'through/by what way?' more than simply 'by'.,87,99628
prep_0006,23,avec,prep,simple preposition,true,accompaniment / instrument / manner,with,和；带着；用,vous voulez aller au ciné avec moi?,do you want to go to a movie with me?,avec,avec + person: avec moi,avec + object/tool: avec un stylo,avec + abstract noun: avec patience,avec moi | travailler avec | parler avec | avec plaisir,"Avec can mark company, tool, or manner.","Avec usually means something is together with the action: person, tool, or attitude.",91,66056
prep_0007,55,entre,prep,simple preposition,true,between / among a limited group,between,在……之间,je marche entre les maisons,I'm walking between the houses,entre,entre + plural noun: entre les maisons,entre + two items: entre A et B,entre + people/group: entre amis,entre nous | entre amis | entre A et B | marcher entre,Entre usually means between two or more clearly identified elements.,"Entre is for space or relationship between items: entre les maisons, entre nous.",86,23028
prep_0008,71,sans,prep,simple preposition,true,absence / without,without,没有；不带；无,je fais plus jeune sans maquillage,I look younger without makeup,sans,sans + noun: sans maquillage,sans + infinitive: sans parler,sans + pronoun: sans toi,sans doute | sans problème | sans arrêt | sans toi,"Sans marks absence and can be followed by a noun, pronoun, or infinitive.",Sans means something is missing from the situation.,81,25099
prep_0009,122,sous,prep,simple preposition,true,under / below / under condition,under,在……下面；受……之下,juste sous ton nez,right under your nose,sous,sous + noun: sous la table,sous + body/place phrase: sous ton nez,sous + abstract condition: sous pression,sous ton nez | sous la table | sous pression | sous contrôle,"Sous usually means physically under, but also appears in abstract expressions.","Sous is the 'under' preposition, both physical and abstract.",84,10840
prep_0010,185,dès,prep,simple preposition / time marker,true,starting from / as soon as,"from, as soon",从……开始；一……就,on me fera signe dès que vous descendrez,they'll wave to me as soon as you get down there,dès,dès + time: dès demain,dès que + clause: dès que vous arrivez,dès + beginning point: dès le début,dès que | dès demain | dès le début | dès maintenant,Dès marks the starting point in time; dès que introduces a time clause.,Dès is stronger and more immediate than depuis: it points to the start moment.,89,4537
