id,number,french_lemma,pos,pronoun_type,is_function_word,person,number_feature,gender_feature,english,chinese_translation,example_french,example_english,example_target_form,replaces_what,position_note,position_examples,usage_note,memory_note,range_count,frequency_raw
pro_0001,1,le,"det,pro",direct object pronoun; also determiner,true,3rd,singular/plural depending on form,masculine/feminine depending on form,"the; him, her, it, them",他/她/它/他们；也可作定冠词,"vive la politique, vive l'amour","long live politics, long live love",la,"replaces a direct object; le = masculine singular, la = feminine singular, les = plural",usually before the conjugated verb; before infinitive; after affirmative imperative,Je le vois. | Je vais le voir. | Regarde-le !,"This seed row is mixed: det + pro. In a pronoun card, focus on object-pronoun use.","As a pronoun, le/la/les replace a direct object. Do not confuse with le/la/les as articles before nouns.",89,2359662
pro_0002,12,ce,"det,pro",demonstrative pronoun; also determiner,true,not applicable,singular concept / neutral,neutral in many uses,"this, that",这；这个；那；那个,je ne déteste pas cet homme,I do not detest this man,cet,"replaces or points to a thing, idea, or situation",often before être in expressions like c'est; can also appear as a determiner before a noun,C'est vrai. | Ce sont mes amis. | Ce livre est intéressant.,"This seed row is mixed: det + pro. In pronoun use, ce often points to an idea/situation.",Think of ce as a pointer word. As pronoun: c'est. As determiner: ce livre.,87,307421
pro_0003,13,il,pro,subject pronoun,true,3rd,singular,masculine / impersonal,"he, it",他；它；非人称主语,allez voir s'il est blessé,go see if he is injured,il,replaces a masculine singular subject; also used in impersonal structures,usually before the conjugated verb,Il parle. | Il pleut. | Il est tard.,Can refer to a masculine person/thing or act as an impersonal subject.,"Il can mean 'he/it', but in il pleut or il faut, it is just a grammar subject.",86,251585
pro_0004,14,qui,pro,relative / interrogative pronoun,true,not applicable,variable by referent,variable by referent,"who, whom",谁；关系代词：……的人/主语,je ne sais pas à qui m'adresser,I don't know who to talk to,qui,replaces a person or subject in a relative/interrogative structure,appears at the start of a question or relative clause,Qui parle ? | La personne qui parle. | À qui parles-tu ?,"As relative pronoun, qui often acts as the subject of the relative clause.","Qui often asks or links 'who'. In relative clauses, it usually carries the subject role.",89,160867
pro_0005,17,se,pro,reflexive pronoun,true,3rd,singular/plural,all genders,"oneself, himself, herself, itself, themselves",自己；自身,"avec ce traité, le Japon se rapproche des Etats-Unis","with this treaty, Japan brings itself closer to the U.S.",se,refers back to the subject in reflexive/pronominal verbs,before the conjugated verb; before infinitive in pronominal verbs,Il se lave. | Ils se parlent. | Il va se lever.,Used with pronominal verbs and reflexive meanings.,Se means the action points back to the subject: il se lave = he washes himself.,88,144707
pro_0006,22,je,pro,subject pronoun,true,1st,singular,all genders,I,我,je suis contente de vous revoir,I am happy to see you again,je,speaker as subject,before the conjugated verb; becomes j’ before vowel/silent h,Je parle. | J'aime. | Je suis là.,Subject pronoun for the speaker.,"Je becomes j’ before vowel sounds: j'aime, j'habite.",73,227259-n
pro_0007,29,on,pro,subject pronoun / indefinite pronoun,true,3rd grammar form,singular verb form; meaning can be singular/plural,neutral / context-dependent,"one, we",人们；我们；某人,on tire et on pose les questions ensuite,we shoot first and ask questions later,on,indefinite subject; often used as informal nous,before the conjugated verb; takes 3rd person singular verb,On parle français. | On y va ? | On est prêts.,Very common in spoken French to mean 'we'. Verb stays singular.,"On feels plural sometimes, but grammar verb form is singular: on parle.",80,87982
pro_0008,31,nous,pro,subject / object / reflexive pronoun,true,1st,plural,all genders,"we, us",我们；我们自己,nous devons nous défendre nous-mêmes,we must defend ourselves,nous,speaker + others as subject/object; also reflexive form,subject nous before verb; object/reflexive nous before verb,Nous parlons. | Elle nous voit. | Nous nous lavons.,"Can be subject, object, or reflexive depending on position.",Nous can appear twice in reflexive sentences: Nous nous défendons.,78,89100
pro_0009,38,elle,pro,subject / stressed pronoun,true,3rd,singular,feminine,"she, her",她；它（阴性名词）,j'étais fou amoureux. elle m'aimait bien,I was head-over-heels in love. she loved me a lot,elle,feminine singular subject; sometimes stressed pronoun,subject position before verb; stressed form after preposition or alone,Elle parle. | Je pense à elle. | C'est elle.,Can refer to a woman/girl or a feminine noun.,Elle can mean she or it when replacing a feminine noun.,78,66136
pro_0010,45,celui,pro,demonstrative pronoun,true,not applicable,singular,masculine,"that, the one, he, him",那个；那一个,tu es celui que je respecte le plus,you're the one I respect the most,celui,replaces a masculine singular noun already known from context,often followed by de or a relative clause,Celui que je connais. | Celui de mon frère. | C'est celui-ci.,Usually cannot stand alone without more context or a modifier.,"Celui needs a tail: celui que..., celui de..., celui-ci/là.",87,28015
