id,number,french_lemma,thematic,pos,adjective_type,is_invariable,masc_singular,fem_singular,masc_plural,fem_plural,english,chinese_translation,example,example_french,word count,example_english,example_target_form,memory_note,range_count,frequency_raw,range_pipe_frequency
adj_0001,3,un,none,"adj,det,nm,pro",regular,false,un,une,uns,unes,"a, an, one",一个；某个,* je me suis cassé un ongle -- I broke one of my fingernails,je me suis cassé un ongle,6,I broke one of my fingernails,un,Regular pattern: feminine +e; plural +s.,95,421500,95 | 421500
adj_0002,16,sur,none,"adj,prep",regular,false,sur,sure,surs,sures,"on, upon",在……上；关于,* t'avais une chance sur un million -- you had one chance in a million,t'avais une chance sur un million,6,you had one chance in a million,sur,Regular pattern: feminine +e; plural +s.,92,97798,92 | 97798
adj_0003,24,tout,none,"adv,det,nadj,pro",regular,false,tout,toute,touts,toutes,"all, very",所有的；全部的,"* comme vous voyez, tout est propre -- as you see, everything is clean","comme vous voyez, tout est propre",6,"as you see, everything is clean",tout,Regular pattern: feminine +e; plural +s.,86,95071,86 | 95071
adj_0004,28,autre,none,"det,nadj(f),pro",ends_in_e,false,autre,autre,autres,autres,other,其他的,* il y a un autre problème -- there's another problem,il y a un autre problème,6,there's another problem,autre,Masculine and feminine singular are the same because the adjective ends in -e.,91,40519,91 | 40519
adj_0005,35,leur,none,"det,adj(f),pro",eur_to_eure,false,leur,leure,leurs,leures,"them, their, theirs",他们；她们；它们,* l'énergie solaire assurait leur survie -- solar energy assured their survival,l'énergie solaire assurait leur survie,5,solar energy assured their survival,leur,Many -eur adjectives take -e in the feminine; review if this word is agentive.,87,39904,87 | 39904
adj_0006,40,avant,none,"adji,adv,nm,prep",invariable,true,avant,avant,avant,avant,before,之前的；以前的,* tu vas te pencher en avant -- you're going to lean forward,tu vas te pencher en avant,6,you're going to lean forward,avant,Invariable adjective/adjectival word; forms do not change.,94,14109,94 | 14109
adj_0007,42,même,none,"adj(f),adv,pro",ends_in_e,false,même,même,mêmes,mêmes,"same, even, self",相同的,* ils ne s'excusent même pas -- they don't even excuse themselves,ils ne s'excusent même pas,5,they don't even excuse themselves,même,Masculine and feminine singular are the same because the adjective ends in -e.,85,37784,85 | 37784
adj_0008,47,bien,none,"adji,adv,nm",invariable,true,bien,bien,bien,bien,well,好的；良好的,* tout va bien maintenant -- everything's going well now,tout va bien maintenant,4,everything's going well now,bien,Invariable adjective/adjectival word; forms do not change.,81,39477,81 | 39477
adj_0009,52,nouveau,none,"adj,nm",irregular,false,nouveau,nouvelle,nouveaux,nouvelles,new,新的,* il a construit une nouvelle vie ici -- he made a new life for himself here,il a construit une nouvelle vie ici,7,he made a new life for himself here,nouvelle,Irregular: nouveau → nouvelle; masculine plural: nouveaux.,88,22005,88 | 22005
adj_0010,56,premier,none,"det,nadj",er_to_ère,false,premier,première,premiers,premières,first,第一的；最初的,"* est-elle la première épouse, la deuxième? -- is she the first wife, the second one?","est-elle la première épouse, la deuxième?",6,"is she the first wife, the second one?",première,Feminine pattern: premier → première.,84,27061,84 | 27061
adj_0011,59,grand,Emotions,"adv,nadj",regular,false,grand,grande,grands,grandes,"great, big, tall",大的；伟大的,* tu es plus grand que je pensais -- you're taller than I thought,tu es plus grand que je pensais,7,you're taller than I thought,grand,Regular pattern: feminine +e; plural +s.,87,21583,87 | 21583
adj_0012,62,moins,none,"adji(pl),adv,nm(pl),prep",invariable,true,moins,moins,moins,moins,less,较少的,* il avait moins d'excuses encore que ses complices -- he had even less excuses than his accomplices did,il avait moins d'excuses encore que ses complices,8,he had even less excuses than his accomplices did,moins,Invariable adjective/adjectival word; forms do not change.,90,14730,90 | 14730
adj_0013,63,aucun,none,"det,adj,pro",regular,false,aucun,aucune,aucuns,aucunes,"none, either, neither, not any",没有任何的,* trop d'argent et aucun goût -- too much money and no taste,trop d'argent et aucun goût,5,too much money and no taste,aucun,Regular pattern: feminine +e; plural +s.,93,9641,93 | 9641
adj_0014,70,quelque,none,"adv,adj,det",ends_in_e,false,quelque,quelque,quelques,quelques,some,一些的,* il restera pour quelques mois -- he will stay for a few months,il restera pour quelques mois,5,he will stay for a few months,quelques,Masculine and feminine singular are the same because the adjective ends in -e.,86,18939,86 | 18939
adj_0015,87,dernier,none,nadj,er_to_ère,false,dernier,dernière,derniers,dernières,last,最后的；上一个的,* c'est le dernier endroit où vous auriez dû vous rencontrer -- that's the last place you should have met,c'est le dernier endroit où vous auriez dû vous rencontrer,10,that's the last place you should have met,dernier,Feminine pattern: dernier → dernière.,83,17524,83 | 17524
adj_0016,89,pendant,none,"adj,prep,nm",regular,false,pendant,pendante,pendants,pendantes,during; pendant,期间的,* où t'étais pendant tout ce temps? -- where were you all of this time?,où t'étais pendant tout ce temps?,6,where were you all of this time?,pendant,Regular pattern: feminine +e; plural +s.,91,8413,91 | 8413
adj_0017,94,bon,Emotions,"adj,adv,intj,nm",irregular,false,bon,bonne,bons,bonnes,good,好的,* ce n'est pas le bon moment -- it's not a good time,ce n'est pas le bon moment,6,it's not a good time,bon,Double n in the feminine: bon → bonne.,81,18375,81 | 18375
adj_0018,101,seul,Emotions,adj,regular,false,seul,seule,seuls,seules,"alone, only",单独的；唯一的,* parler tout seul était signe d'aliénation -- talking to oneself was a sign of loneliness,parler tout seul était signe d'aliénation,6,talking to oneself was a sign of loneliness,seul,Regular pattern: feminine +e; plural +s.,84,13542,84 | 13542
adj_0019,107,fort,Emotions,"adv,adj,nm",regular,false,fort,forte,forts,fortes,strong,强壮的；强的,* c'est une femme forte -- she is a strong woman,c'est une femme forte,4,she is a strong woman,forte,Regular pattern: feminine +e; plural +s.,90,6811,90 | 6811
adj_0020,110,certain,Emotions,"adj,det,nm,pro",regular,false,certain,certaine,certains,certaines,"certain, sure",确定的；某些的,* certains ont affirmé que le gouvernement était trop faible -- some contend that the government was too weak,certains ont affirmé que le gouvernement était trop faible,9,some contend that the government was too weak,certains,Regular pattern: feminine +e; plural +s.,79,16317,79 | 16317
adj_0021,111,fin,none,"adj,adv,nf,nm",regular,false,fin,fine,fins,fines,end; gist; clever person,末端的；最终的,* la fin est importante en toutes choses -- the ending is important in everything,la fin est importante en toutes choses,7,the ending is important in everything,fin,Regular pattern: feminine +e; plural +s.,85,10595,85 | 10595
adj_0022,125,chose,none,"adj(f),nf",ends_in_e,false,chose,chose,choses,choses,thing,东西；事情,* les choses pourraient bien changer à l'avenir -- things could change in the future,les choses pourraient bien changer à l'avenir,7,things could change in the future,choses,Masculine and feminine singular are the same because the adjective ends in -e.,75,18086-n,75 | 18086-n
adj_0023,126,enfant,Family,"nm,nf,adj(f)",regular,false,enfant,enfante,enfants,enfantes,child,儿童的,* mes enfants sont en vie -- my children are alive,mes enfants sont en vie,5,my children are alive,enfants,Regular pattern: feminine +e; plural +s.,85,9836,85 | 9836
adj_0024,128,politique,none,nadj(f),ends_in_e,false,politique,politique,politiques,politiques,politics; political,政治的,* elle se spécialise en sciences politiques -- her specialty is political science,elle se spécialise en sciences politiques,6,her specialty is political science,politiques,Masculine and feminine singular are the same because the adjective ends in -e.,77,15972,77 | 15972
adj_0025,138,petit,none,nadj,regular,false,petit,petite,petits,petites,"small, little",小的,* ce petit drogué n'a pas tort -- this little drug addict isn't wrong,ce petit drogué n'a pas tort,6,this little drug addict isn't wrong,petit,Regular pattern: feminine +e; plural +s.,76,15029,76 | 15029
adj_0026,141,fait,none,"adj,nm",regular,false,fait,faite,faits,faites,"done, fact",完成的,"* dans les faits, il a raison -- factually, he is correct","dans les faits, il a raison",6,"factually, he is correct",faits,Regular pattern: feminine +e; plural +s.,80,12241,80 | 12241
adj_0027,142,tel,none,"adj,det,pro",double_l,false,tel,telle,tels,telles,such,这样的,* je vais m'abstenir d'employer un tel langage -- I'm going to refrain from using such language,je vais m'abstenir d'employer un tel langage,7,I'm going to refrain from using such language,tel,Feminine often doubles l: tel → telle.,84,9491,84 | 9491
adj_0028,143,droit,none,"adj,adv,nm",regular,false,droit,droite,droits,droites,right,右边的；正确的,* elle a le droit de tout savoir -- she has the right to know everything,elle a le droit de tout savoir,7,she has the right to know everything,droit,Regular pattern: feminine +e; plural +s.,78,13566,78 | 13566
adj_0029,146,quel,none,"det,adj,pro",double_l,false,quel,quelle,quels,quelles,"which, what",哪一个的；什么样的,* quel livre cherchiez-vous? -- which book are you looking for?,quel livre cherchiez-vous?,3,which book are you looking for?,quel,Feminine often doubles l: quel → quelle.,80,11958,80 | 11958
adj_0030,147,général,none,nadj,regular,false,général,générale,généraux,générales,general,一般的；总体的,* voici quelques conseils généraux -- here are a few general pieces of advice,voici quelques conseils généraux,4,here are a few general pieces of advice,généraux,Regular pattern: feminine +e; plural +s.,82,10245,82 | 10245
adj_0031,151,chaque,none,"det,adj",ends_in_e,false,chaque,chaque,chaques,chaques,each,每个的,* chaque entreprise doit avoir sa propre organisation -- every company must have its own organization,chaque entreprise doit avoir sa propre organisation,7,every company must have its own organization,chaque,Masculine and feminine singular are the same because the adjective ends in -e.,86,7202,86 | 7202
adj_0032,152,jeune,Emotions,nadj(f),ends_in_e,false,jeune,jeune,jeunes,jeunes,young,年轻的,* le gouvernement cherche à exploiter les jeunes -- the government is trying to exploit young people,le gouvernement cherche à exploiter les jeunes,7,the government is trying to exploit young people,jeunes,Masculine and feminine singular are the same because the adjective ends in -e.,83,9357,83 | 9357
adj_0033,164,plan,none,"adj,nm",regular,false,plan,plane,plans,planes,plan,平面的；计划的,* achetez donc un plan de la ville -- so buy a map of the city,achetez donc un plan de la ville,7,so buy a map of the city,plan,Regular pattern: feminine +e; plural +s.,87,5978,87 | 5978
adj_0034,175,possible,none,adj(f),ends_in_e,false,possible,possible,possibles,possibles,possible,可能的,* nous avons donc deux scénarios possibles -- so we have two possible scenarios,nous avons donc deux scénarios possibles,6,so we have two possible scenarios,possibles,Masculine and feminine singular are the same because the adjective ends in -e.,86,6178,86 | 6178
adj_0035,186,moyen,none,"adj,nm",double_n,false,moyen,moyenne,moyens,moyennes,"means, way; medium",中等的；方法的,* il songeait aux moyens de profiter de sa victoire -- he was dreaming of a way to profit from his victory,il songeait aux moyens de profiter de sa victoire,9,he was dreaming of a way to profit from his victory,moyens,Feminine often doubles n: moyen → moyenne.,81,8104,81 | 8104
adj_0036,194,meilleur,none,nadj,eur_to_eure,false,meilleur,meilleure,meilleurs,meilleures,"better, best",更好的；最好的,* j'apprends à être un meilleur mari -- I'm learning to be a better husband,j'apprends à être un meilleur mari,6,I'm learning to be a better husband,meilleur,Many -eur adjectives take -e in the feminine; review if this word is agentive.,87,5030,87 | 5030
