number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
1,le,none,"det,pro","the; him, her, it, them","* vive la politique, vive l'amour -- long live politics, long live love","vive la politique, vive l'amour",5,"long live politics, long live love",89,2359662,89 | 2359662,det|pro,no_noun_verb_adj_bucket
2,de,none,"det,prep","of, from, some, any",* il ne rêve que d'argent et de plaisirs -- he only dreams of money and pleasure,il ne rêve que d'argent et de plaisirs,8,he only dreams of money and pleasure,88,1665907,88 | 1665907,det|prep,no_noun_verb_adj_bucket
4,à,none,prep,"to, at, in",* ils restent à l'école le plus longtemps possible -- they remain at school as long as possible,ils restent à l'école le plus longtemps possible,8,they remain at school as long as possible,93,557546,93 | 557546,prep,no_noun_verb_adj_bucket
6,et,none,conj,and,* et les larmes se remirent à couler -- and the tears started flowing again,et les larmes se remirent à couler,7,and the tears started flowing again,93,364443,93 | 364443,conj,no_noun_verb_adj_bucket
10,pour,none,prep,"for, in order to",* elle jouait pour gagner -- she played to win,elle jouait pour gagner,4,she played to win,93,151709,93 | 151709,prep,no_noun_verb_adj_bucket
11,dans,none,prep,"in, into, from",* je reviendrai dans dix minutes -- I will return in 10 minutes,je reviendrai dans dix minutes,5,I will return in 10 minutes,93,161033,93 | 161033,prep,no_noun_verb_adj_bucket
12,ce,none,"det,pro","this, that",* je ne déteste pas cet homme -- I do not detest this man,je ne déteste pas cet homme,6,I do not detest this man,87,307421,87 | 307421,det|pro,no_noun_verb_adj_bucket
13,il,none,pro,"he, it",* allez voir s'il est blessé -- go see if he is injured,allez voir s'il est blessé,5,go see if he is injured,86,251585,86 | 251585,pro,no_noun_verb_adj_bucket
14,qui,none,pro,"who, whom",* je ne sais pas à qui m'adresser -- I don't know who to talk to,je ne sais pas à qui m'adresser,7,I don't know who to talk to,89,160867,89 | 160867,pro,no_noun_verb_adj_bucket
17,se,none,pro,"oneself, himself, herself, itself, themselves","* avec ce traité, le Japon se rapproche des Etats-Unis -- with this treaty, Japan brings itself closer to the U.S.","avec ce traité, le Japon se rapproche des Etats-Unis",9,"with this treaty, Japan brings itself closer to the U.S.",88,144707,88 | 144707,pro,no_noun_verb_adj_bucket
21,par,none,prep,by,* il s'y trouvait par hasard -- he found himself there by accident,il s'y trouvait par hasard,5,he found himself there by accident,87,99628,87 | 99628,prep,no_noun_verb_adj_bucket
22,je,none,pro,I,* je suis contente de vous revoir -- I am happy to see you again,je suis contente de vous revoir,6,I am happy to see you again,73,227259-n,73 | 227259-n,pro,no_noun_verb_adj_bucket
23,avec,none,prep,with,* vous voulez aller au ciné avec moi? -- do you want to go to a movie with me?,vous voulez aller au ciné avec moi?,7,do you want to go to a movie with me?,91,66056,91 | 66056,prep,no_noun_verb_adj_bucket
29,on,none,pro,"one, we",* on tire et on pose les questions ensuite -- we shoot first and ask questions later,on tire et on pose les questions ensuite,8,we shoot first and ask questions later,80,87982,80 | 87982,pro,no_noun_verb_adj_bucket
31,nous,none,pro,"we, us",* nous devons nous défendre nous-mêmes -- we must defend ourselves,nous devons nous défendre nous-mêmes,5,we must defend ourselves,78,89100,78 | 89100,pro,no_noun_verb_adj_bucket
33,ou,none,conj,or,* il en reste du café ou pas? -- is there some coffee left or not?,il en reste du café ou pas?,7,is there some coffee left or not?,86,49714,86 | 49714,conj,no_noun_verb_adj_bucket
38,elle,none,pro,"she, her",* j'étais fou amoureux. elle m'aimait bien -- I was head-over-heels in love. she loved me a lot,j'étais fou amoureux. elle m'aimait bien,6,I was head-over-heels in love. she loved me a lot,78,66136,78 | 66136,pro,no_noun_verb_adj_bucket
45,celui,none,pro,"that, the one, he, him",* tu es celui que je respecte le plus -- you're the one I respect the most,tu es celui que je respecte le plus,8,you're the one I respect the most,87,28015,87 | 28015,pro,no_noun_verb_adj_bucket
50,vous,Word length,pro,you,"* ici, vous avez une personnalité publique -- here, you are a public personality","ici, vous avez une personnalité publique",6,"here, you are a public personality",65,77127-n +s,65 | 77127-n +s,pro,no_noun_verb_adj_bucket
54,cela,none,pro,"that, it",* cela demande de l'intégrité et du courage -- that requires integrity and courage,cela demande de l'intégrité et du courage,7,that requires integrity and courage,73,50891-n +s,73 | 50891-n +s,pro,no_noun_verb_adj_bucket
55,entre,none,prep,between,* je marche entre les maisons -- I'm walking between the houses,je marche entre les maisons,5,I'm walking between the houses,86,23028,86 | 23028,prep,no_noun_verb_adj_bucket
60,mon,none,det,my,* t'aurais pu rencontrer mon copain -- you could've met my buddy,t'aurais pu rencontrer mon copain,5,you could've met my buddy,70,55084-n,70 | 55084-n,det,no_noun_verb_adj_bucket
61,me,none,pro,"me, to me, myself",* reviens me voir dans cinq ou six ans -- come back to see me in five or six years,reviens me voir dans cinq ou six ans,8,come back to see me in five or six years,65,63357-n,65 | 63357-n,pro,no_noun_verb_adj_bucket
64,lui,none,pro,"him, her",* mais j'ai confiance qu'en lui -- but I have confidence in him,mais j'ai confiance qu'en lui,5,but I have confidence in him,75,38286,75 | 38286,pro,no_noun_verb_adj_bucket
71,sans,none,prep,without,* je fais plus jeune sans maquillage -- I look younger without makeup,je fais plus jeune sans maquillage,6,I look younger without makeup,81,25099,81 | 25099,prep,no_noun_verb_adj_bucket
73,notre,none,det,our,* notre ville a le sens de la communauté -- our city has a sense of community,notre ville a le sens de la communauté,8,our city has a sense of community,78,29713,78 | 29713,det,no_noun_verb_adj_bucket
74,dont,none,pro,"whose, of which",* on a tout ce dont tu rêvais en ville -- everything you dreamed about is available in town,on a tout ce dont tu rêvais en ville,9,everything you dreamed about is available in town,86,17841,86 | 17841,pro,no_noun_verb_adj_bucket
92,lequel,none,pro,"who, whom, which",* il y a bien des points sur lesquels je voudrais faire des commentaires -- there are many points on which I would like to comment,il y a bien des points sur lesquels je voudrais faire des commentaires,13,there are many points on which I would like to comment,87,12507,87 | 12507,pro,no_noun_verb_adj_bucket
112,tu,none,pro,you,"* a ma place, tu ne le ferais pas -- in my position, you would not do it","a ma place, tu ne le ferais pas",8,"in my position, you would not do it",54,42483-n +s,54 | 42483-n +s,pro,no_noun_verb_adj_bucket
122,sous,none,prep,under,* juste sous ton nez -- right under your nose,juste sous ton nez,4,right under your nose,84,10840,84 | 10840,prep,no_noun_verb_adj_bucket
145,donc,none,conj,"so, then, therefore, thus",* nous avons donc dû faire les calculs nous-mêmes -- we had to do the calculations ourselves,nous avons donc dû faire les calculs nous-mêmes,8,we had to do the calculations ourselves,74,15588,74 | 15588,conj,no_noun_verb_adj_bucket
161,eux,none,pro,them,* c'est eux qui comptent -- they are the ones who matter,c'est eux qui comptent,4,they are the ones who matter,87,6631,87 | 6631,pro,no_noun_verb_adj_bucket
176,car,none,"conj,nm",because; bus,"* c'est dommage, car tu vas perdre un gros client -- it's too bad, because you're going to lose a major customer","c'est dommage, car tu vas perdre un gros client",9,"it's too bad, because you're going to lose a major customer",81,8864,81 | 8864,conj|nm,moved_from_nouns_contains_adv_or_conj
185,dès,none,prep,"from, as soon",* on me fera signe dès que vous descendrez -- they'll wave to me as soon as you get down there,on me fera signe dès que vous descendrez,8,they'll wave to me as soon as you get down there,89,4537,89 | 4537,prep,no_noun_verb_adj_bucket
