number,french_lemma,thematic,pos,english,chinese_explanation,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,gender,lemma_article,plural_form,plural_type
26,son,none,"det,nm","his, her, its; sound; bran",他的；她的；它的；声音；麸皮,* un ami ingénieur du son m'aide pour les arrangements -- a sound engineer friend of mine helped me with the arrangements,un ami ingénieur du son m'aide pour les arrangements,9,a sound engineer friend of mine helped me with the arrangements,81,116681,81 | 116681,m,le,sons,regular -s
41,deux,none,"det,nmi",two,数字名词：二；两个；作名词时通常为阳性,* il prend le train deux fois par semaine pour affaires -- he takes the train on business twice per week,il prend le train deux fois par semaine pour affaires,10,he takes the train on business twice per week,87,31727,87 | 31727,m,le,deux,number noun / usually invariable
49,fois,none,nf(pl),"time, times",时间；次数；次数,* lève la main une fois -- raise your hand one time,lève la main une fois,5,raise your hand one time,92,15724,92 | 15724,f,la,fois,unchanged ending s/x/z
65,temps,Time,nm(pl),time,时间；次数,"* sur le plan spirituel, le temps n'existe pas -- on the spiritual level, time does not exist","sur le plan spirituel, le temps n'existe pas",8,"on the spiritual level, time does not exist",86,20420,86 | 20420,m,le,temps,unchanged ending s/x/z
72,raison,none,nf,reason,理由；原因,"* elle a raison, tu sais -- she's right, you know","elle a raison, tu sais",5,"she's right, you know",92,9506,92 | 9506,f,la,raisons,regular -s
76,an,Time,nm,year,年,* j'avais un an à la mort de mon père -- I was one year old when my father died,j'avais un an à la mort de mon père,9,I was one year old when my father died,82,22241,82 | 22241,m,l’,ans,regular -s
77,monde,Natural features and plants,nm,"world, people",世界；人们；人民,* notre ultime but est de reconstruire le monde -- our ultimate goal is to remake the world,notre ultime but est de reconstruire le monde,8,our ultimate goal is to remake the world,87,15475,87 | 15475,m,le,mondes,regular -s
78,jour,Time,nm,day,天；日,"* un jour, je retrouverais mes vrais parents -- one day, I would find my real parents","un jour, je retrouverais mes vrais parents",7,"one day, I would find my real parents",86,17641,86 | 17641,m,le,jours,regular -s
79,monsieur,Relationships,nm,"mister, sir, gentleman",先生；男士,"* comment allez-vous , monsieur? -- how are you, sir?","comment allez-vous , monsieur?",4,"how are you, sir?",67,45411,67 | 45411,m,le,messieurs,irregular
84,personne,none,"nf,pro","person, people, anybody, anyone, nobody",人；任何人；没有人（按否定语境）,* il ne parlait à personne en particulier -- he was speaking to nobody in particular,il ne parlait à personne en particulier,7,he was speaking to nobody in particular,84,16218,84 | 16218,f,la,personnes,regular -s
86,part,none,nf,share,份额；分享,* je voudrais vous faire part de quelques données -- I want to share some data with you,je voudrais vous faire part de quelques données,8,I want to share some data with you,91,8971,91 | 8971,f,la,parts,regular -s
93,suite,none,nf,"result, follow-up, rest",结果；后续跟进；休息；剩余部分,"* deux, trois et ainsi de suite -- two, three, and so on","deux, trois et ainsi de suite",6,"two, three, and so on",93,5964,93 | 5964,f,la,suites,regular -s
99,heure,Creating nouns – 1,nf,hour,小时,* a quelle heure sont-ils partis? -- at what time did they leave?,a quelle heure sont-ils partis?,5,at what time did they leave?,85,13215,85 | 13215,f,l’,heures,regular -s
102,année,Time,nf,year,年,* il devait se présenter l'année suivante -- he had to show up the next year,il devait se présenter l'année suivante,6,he had to show up the next year,81,16316,81 | 16316,f,l’,années,regular -s
114,pays,none,nm(pl),country,国家；乡村,* ils vivent dans ce beau pays -- they live in this beautiful country,ils vivent dans ce beau pays,6,they live in this beautiful country,74,19496,74 | 19496,m,le,pays,unchanged ending s/x/z
115,trois,none,"det,nmi",three,数字名词：三；作名词时通常为阳性,* les trois chasseurs étaient en pleine lumière -- the three hunters were directly in the light,les trois chasseurs étaient en pleine lumière,7,the three hunters were directly in the light,83,12562,83 | 12562,m,le,trois,number noun / usually invariable
117,lieu,none,nm,place,地方；位置,* je suis né dans un lieu public -- I was born in a public place,je suis né dans un lieu public,7,I was born in a public place,89,7344,89 | 7344,m,le,lieux,regular -x
118,partie,none,nf,part,部分,* il garde la majeure partie de cet argent -- he's keeping most of that money,il garde la majeure partie de cet argent,8,he's keeping most of that money,85,10177,85 | 10177,f,la,parties,regular -s
123,côté,none,nm,side,一边；方面,* il s'arrête à côté du fauteuil -- he stops beside the armchair,il s'arrête à côté du fauteuil,6,he stops beside the armchair,89,7002,89 | 7002,m,le,côtés,regular -s
127,cause,none,nf,cause,原因,* ces hallucinations ont une cause -- these hallucinations have a cause,ces hallucinations ont une cause,5,these hallucinations have a cause,91,5353,91 | 5353,f,la,causes,regular -s
129,place,none,nf,"room, space, square, place",房间；空间；正方形；地方；位置,* je n'aimerais pas être à votre place -- I wouldn't want to be in your stead,je n'aimerais pas être à votre place,7,I wouldn't want to be in your stead,87,8092,87 | 8092,f,la,places,regular -s
131,moi,none,"nm,pro",me,我（重读代词；可作名词化表达）,* tu sors avec moi ce soir? -- are you going out with me tonight?,tu sors avec moi ce soir?,6,are you going out with me tonight?,63,27118-n,63 | 27118-n,m,,,stressed pronoun (no plural paradigm)
132,vie,Time,nf,life,生活；生命,* je suis sûr qu'elle est en vie -- I'm sure she's alive,je suis sûr qu'elle est en vie,7,I'm sure she's alive,80,13285,80 | 13285,f,la,vies,regular -s
136,homme,Relationships,nm,man,男人；人,* l'homme est plus important que l'État -- man is more important than country,l'homme est plus important que l'État,6,man is more important than country,76,15266,76 | 15266,m,l’,hommes,regular -s
137,cas,none,nm(pl),case,情况；案件,"* en tout cas, moi, je ne l'ai pas -- in any case, I don't have it","en tout cas, moi, je ne l'ai pas",8,"in any case, I don't have it",80,12096,80 | 12096,m,le,cas,unchanged ending s/x/z
144,question,Creating nouns – 2,nf,question,问题,* je suis gêné de répondre à cette question -- I'm embarrassed to answer this question,je suis gêné de répondre à cette question,8,I'm embarrassed to answer this question,68,20584+s,68 | 20584+s,f,la,questions,regular -s
148,moment,Time,nm,moment,时刻,* arrête de parler pour un moment -- stop talking for a moment,arrête de parler pour un moment,6,stop talking for a moment,82,10053,82 | 10053,m,le,moments,regular -s
153,travail,none,nm,work,工作；作品,* je ne prenais pas mon travail au sérieux -- I wasn't taking my work seriously,je ne prenais pas mon travail au sérieux,8,I wasn't taking my work seriously,78,11952,78 | 11952,m,le,travaux,irregular -ail→aux
154,femme,none,nf,"woman, wife",女人；妻子,* je vous déclare maintenant mari et femme -- I now declare you husband and wife,je vous déclare maintenant mari et femme,7,I now declare you husband and wife,78,12016,78 | 12016,f,la,femmes,regular -s
